2019-07-17 10:22:05,094 - BDM-WAM 1563355325.0808244 - INFO - <Event(17-VideoExpose {})>
2019-07-17 10:22:06,105 - BDM-WAM 1563355325.0808244 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 10:22:06,105 - BDM-WAM 1563355325.0808244 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 10:22:06,105 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (206, 287), 'rel': (207, 288), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,105 - BDM-WAM 1563355325.0808244 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 10:22:06,106 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (280, 349), 'rel': (74, 62), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,154 - BDM-WAM 1563355325.0808244 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 10:22:06,577 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (304, 306), 'rel': (9, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,593 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (328, 306), 'rel': (24, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,609 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (352, 311), 'rel': (24, 5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,626 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (364, 315), 'rel': (12, 4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,644 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (371, 327), 'rel': (7, 12), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,660 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (371, 337), 'rel': (0, 10), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,677 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (360, 350), 'rel': (-11, 13), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,693 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (332, 365), 'rel': (-28, 15), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,710 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (296, 377), 'rel': (-36, 12), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,727 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (249, 383), 'rel': (-47, 6), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,743 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (225, 383), 'rel': (-24, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,761 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (211, 383), 'rel': (-14, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,778 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (200, 382), 'rel': (-11, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,795 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (196, 382), 'rel': (-4, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,811 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (192, 382), 'rel': (-4, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,828 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (188, 383), 'rel': (-4, 1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,844 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (184, 385), 'rel': (-4, 2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,861 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (179, 387), 'rel': (-5, 2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,879 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (171, 392), 'rel': (-8, 5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,895 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (163, 397), 'rel': (-8, 5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,912 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (153, 402), 'rel': (-10, 5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,929 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (149, 406), 'rel': (-4, 4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,945 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (146, 409), 'rel': (-3, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,963 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (142, 412), 'rel': (-4, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,980 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (140, 414), 'rel': (-2, 2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 10:22:06,997 - BDM-WAM 1563355325.0808244 - INFO - <Event(5-MouseButtonDown {'pos': (140, 414), 'button': 1, 'window': None})>
2019-07-17 10:22:06,997 - BDM-WAM 1563355325.0808244 - INFO - True Hit: 140, 414
2019-07-17 10:22:07,022 - BDM-WAM 1563355325.0808244 - INFO - <Event(4-MouseMotion {'pos': (139, 415), 'rel': (-1, 1), 'buttons': (1, 0, 0), 'window': None})>
2019-07-17 10:22:07,114 - BDM-WAM 1563355325.0808244 - INFO - <Event(6-MouseButtonUp {'pos': (139, 415), 'button': 1, 'window': None})>
