2019-07-18 07:29:20,309 - BDM-WAM 1563431358.5473378 - INFO - <Event(17-VideoExpose {})>
2019-07-18 07:29:24,964 - BDM-WAM 1563431358.5473378 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-18 07:29:24,965 - BDM-WAM 1563431358.5473378 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-18 07:29:24,965 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (799, 599), 'rel': (800, 600), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:24,965 - BDM-WAM 1563431358.5473378 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 2})>
2019-07-18 07:29:24,987 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (520, 341), 'rel': (2, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:24,994 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (521, 340), 'rel': (1, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,010 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (522, 338), 'rel': (1, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,027 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (524, 336), 'rel': (2, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,043 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (527, 333), 'rel': (3, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,059 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (533, 332), 'rel': (6, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,076 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (538, 332), 'rel': (5, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,103 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (544, 331), 'rel': (6, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,109 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (545, 331), 'rel': (1, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,124 - BDM-WAM 1563431358.5473378 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-18 07:29:25,125 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (548, 331), 'rel': (3, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,141 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (550, 330), 'rel': (2, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,158 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (553, 330), 'rel': (3, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,174 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (557, 329), 'rel': (4, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,191 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (560, 328), 'rel': (3, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,219 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (566, 327), 'rel': (6, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,225 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (566, 326), 'rel': (0, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,342 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (563, 326), 'rel': (-3, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,359 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (558, 325), 'rel': (-5, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,376 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (549, 325), 'rel': (-9, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 07:29:25,392 - BDM-WAM 1563431358.5473378 - INFO - <Event(4-MouseMotion {'pos': (537, 330), 'rel': (-12, 5), 'buttons': (0, 0, 0), 'window': None})>
