2019-07-17 15:29:03,463 - BDM-WAM 1563373741.1392827 - INFO - <Event(17-VideoExpose {})>
2019-07-17 15:29:04,504 - BDM-WAM 1563373741.1392827 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 15:29:04,504 - BDM-WAM 1563373741.1392827 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 15:29:04,504 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (0, 161), 'rel': (0, 162), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,505 - BDM-WAM 1563373741.1392827 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 15:29:04,505 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (390, 335), 'rel': (390, 174), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,629 - BDM-WAM 1563373741.1392827 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 15:29:04,814 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (378, 357), 'rel': (1, 1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,830 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (385, 357), 'rel': (7, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,847 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (405, 360), 'rel': (20, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,863 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (438, 360), 'rel': (33, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,878 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (470, 360), 'rel': (32, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,894 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (494, 358), 'rel': (24, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,913 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (512, 357), 'rel': (18, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:29:04,928 - BDM-WAM 1563373741.1392827 - INFO - <Event(4-MouseMotion {'pos': (524, 356), 'rel': (12, -1), 'buttons': (0, 0, 0), 'window': None})>
