2019-07-17 12:52:28,758 - BDM-WAM 1563364346.2479377 - INFO - <Event(17-VideoExpose {})>
2019-07-17 12:52:29,393 - BDM-WAM 1563364346.2479377 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 12:52:29,394 - BDM-WAM 1563364346.2479377 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 12:52:29,394 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (694, 400), 'rel': (695, 401), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:29,394 - BDM-WAM 1563364346.2479377 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 12:52:29,402 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (645, 355), 'rel': (-49, -45), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:29,594 - BDM-WAM 1563364346.2479377 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 12:52:30,051 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (656, 345), 'rel': (10, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,068 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (666, 346), 'rel': (10, 1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,084 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (671, 347), 'rel': (5, 1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,102 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (676, 347), 'rel': (5, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,117 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (678, 347), 'rel': (2, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,135 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (680, 347), 'rel': (2, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,150 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (682, 346), 'rel': (2, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,167 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (684, 344), 'rel': (2, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,183 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (687, 341), 'rel': (3, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,202 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (690, 336), 'rel': (3, -5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,218 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (698, 326), 'rel': (8, -10), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,233 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (706, 313), 'rel': (8, -13), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 12:52:30,248 - BDM-WAM 1563364346.2479377 - INFO - <Event(4-MouseMotion {'pos': (711, 302), 'rel': (5, -11), 'buttons': (0, 0, 0), 'window': None})>
