2019-07-17 15:17:58,326 - BDM-WAM 1563373075.963538 - INFO - <Event(17-VideoExpose {})>
2019-07-17 15:17:59,443 - BDM-WAM 1563373075.963538 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 15:17:59,443 - BDM-WAM 1563373075.963538 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 15:17:59,444 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (202, 406), 'rel': (203, 407), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,444 - BDM-WAM 1563373075.963538 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 15:17:59,452 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (405, 341), 'rel': (203, -65), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,565 - BDM-WAM 1563373075.963538 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 15:17:59,812 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (350, 411), 'rel': (2, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,830 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (361, 409), 'rel': (11, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,847 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (380, 409), 'rel': (19, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,863 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (392, 409), 'rel': (12, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,880 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (401, 409), 'rel': (9, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,896 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (412, 408), 'rel': (11, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,913 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (419, 405), 'rel': (7, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,931 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (428, 405), 'rel': (9, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,947 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (432, 404), 'rel': (4, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,964 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (434, 404), 'rel': (2, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,981 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (436, 404), 'rel': (2, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:17:59,997 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (437, 404), 'rel': (1, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:18:00,015 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (439, 404), 'rel': (2, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:18:00,031 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (440, 404), 'rel': (1, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:18:00,048 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (441, 403), 'rel': (1, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:18:00,065 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (444, 402), 'rel': (3, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:18:00,097 - BDM-WAM 1563373075.963538 - INFO - <Event(4-MouseMotion {'pos': (447, 402), 'rel': (3, 0), 'buttons': (0, 0, 0), 'window': None})>
