2019-07-17 15:20:05,979 - BDM-WAM 1563373202.3758807 - INFO - <Event(17-VideoExpose {})>
2019-07-17 15:20:07,162 - BDM-WAM 1563373202.3758807 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 15:20:07,162 - BDM-WAM 1563373202.3758807 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 15:20:07,162 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (452, 327), 'rel': (453, 328), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:07,162 - BDM-WAM 1563373202.3758807 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 15:20:07,163 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (409, 361), 'rel': (-43, 34), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:07,280 - BDM-WAM 1563373202.3758807 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 15:20:08,455 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (452, 340), 'rel': (42, -20), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,476 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (536, 299), 'rel': (84, -41), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,492 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (598, 272), 'rel': (62, -27), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,508 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (638, 253), 'rel': (40, -19), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,565 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (680, 235), 'rel': (42, -18), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,583 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (682, 234), 'rel': (2, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,615 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (680, 238), 'rel': (-2, 4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,677 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (660, 252), 'rel': (-20, 14), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,730 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (642, 243), 'rel': (-18, -9), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,746 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (630, 232), 'rel': (-12, -11), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,762 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (618, 222), 'rel': (-12, -10), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,779 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (605, 212), 'rel': (-13, -10), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,796 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (593, 202), 'rel': (-12, -10), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:20:08,812 - BDM-WAM 1563373202.3758807 - INFO - <Event(4-MouseMotion {'pos': (583, 194), 'rel': (-10, -8), 'buttons': (0, 0, 0), 'window': None})>
