2019-11-23 21:21:11,768 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (0, -2), 'buttons': (0, 0, 0), 'pos': (684, 62), 'window': None})>
2019-11-23 21:21:11,785 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (0, -2), 'buttons': (0, 0, 0), 'pos': (684, 60), 'window': None})>
2019-11-23 21:21:11,819 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, -1), 'buttons': (0, 0, 0), 'pos': (683, 59), 'window': None})>
2019-11-23 21:21:11,835 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (0, -2), 'buttons': (0, 0, 0), 'pos': (683, 57), 'window': None})>
2019-11-23 21:21:11,852 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, -1), 'buttons': (0, 0, 0), 'pos': (682, 56), 'window': None})>
2019-11-23 21:21:11,886 - BDM-WAM 1574544069.3801665 - INFO - <Event(5-MouseButtonDown {'button': 1, 'pos': (682, 56), 'window': None})>
2019-11-23 21:21:11,887 - BDM-WAM 1574544069.3801665 - INFO - <Event(9.1-True Hit {'pos': (682,56),'distance: 90.91754506144565,'relative_loc: (79, 45),'window': None})>
2019-11-23 21:21:11,986 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-6, 0), 'buttons': (1, 0, 0), 'pos': (676, 56), 'window': None})>
2019-11-23 21:21:12,006 - BDM-WAM 1574544069.3801665 - INFO - <Event(6-MouseButtonUp {'button': 1, 'pos': (676, 56), 'window': None})>
2019-11-23 21:21:12,006 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, 0), 'buttons': (0, 0, 0), 'pos': (673, 56), 'window': None})>
2019-11-23 21:21:12,022 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-4, 1), 'buttons': (0, 0, 0), 'pos': (669, 57), 'window': None})>
2019-11-23 21:21:12,039 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, 1), 'buttons': (0, 0, 0), 'pos': (668, 58), 'window': None})>
2019-11-23 21:21:12,056 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, 1), 'buttons': (0, 0, 0), 'pos': (667, 59), 'window': None})>
2019-11-23 21:21:12,073 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-2, 0), 'buttons': (0, 0, 0), 'pos': (665, 59), 'window': None})>
2019-11-23 21:21:12,107 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, 0), 'buttons': (0, 0, 0), 'pos': (664, 59), 'window': None})>
2019-11-23 21:21:12,403 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-36, 71), 'buttons': (0, 0, 0), 'pos': (628, 130), 'window': None})>
2019-11-23 21:21:12,576 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-49, 43), 'buttons': (0, 0, 0), 'pos': (579, 173), 'window': None})>
2019-11-23 21:21:12,679 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-5, 1), 'buttons': (0, 0, 0), 'pos': (574, 174), 'window': None})>
2019-11-23 21:21:12,696 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-11, 4), 'buttons': (0, 0, 0), 'pos': (563, 178), 'window': None})>
2019-11-23 21:21:12,714 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-24, 9), 'buttons': (0, 0, 0), 'pos': (539, 187), 'window': None})>
2019-11-23 21:21:12,730 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-21, 7), 'buttons': (0, 0, 0), 'pos': (518, 194), 'window': None})>
2019-11-23 21:21:12,748 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-26, 7), 'buttons': (0, 0, 0), 'pos': (492, 201), 'window': None})>
2019-11-23 21:21:12,764 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-17, 4), 'buttons': (0, 0, 0), 'pos': (475, 205), 'window': None})>
2019-11-23 21:21:12,781 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-20, 2), 'buttons': (0, 0, 0), 'pos': (455, 207), 'window': None})>
2019-11-23 21:21:12,798 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-13, 2), 'buttons': (0, 0, 0), 'pos': (442, 209), 'window': None})>
2019-11-23 21:21:13,029 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (23, -18), 'buttons': (0, 0, 0), 'pos': (465, 191), 'window': None})>
2019-11-23 21:21:13,034 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (5, -3), 'buttons': (0, 0, 0), 'pos': (470, 188), 'window': None})>
2019-11-23 21:21:13,146 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (17, -15), 'buttons': (0, 0, 0), 'pos': (487, 173), 'window': None})>
2019-11-23 21:21:13,157 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (10, 12), 'buttons': (0, 0, 0), 'pos': (497, 185), 'window': None})>
2019-11-23 21:21:13,171 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (13, 30), 'buttons': (0, 0, 0), 'pos': (510, 215), 'window': None})>
2019-11-23 21:21:13,187 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (8, 21), 'buttons': (0, 0, 0), 'pos': (518, 236), 'window': None})>
2019-11-23 21:21:13,204 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, 17), 'buttons': (0, 0, 0), 'pos': (517, 253), 'window': None})>
2019-11-23 21:21:13,221 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-4, 19), 'buttons': (0, 0, 0), 'pos': (513, 272), 'window': None})>
2019-11-23 21:21:13,237 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-7, 14), 'buttons': (0, 0, 0), 'pos': (506, 286), 'window': None})>
2019-11-23 21:21:13,254 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, 7), 'buttons': (0, 0, 0), 'pos': (503, 293), 'window': None})>
2019-11-23 21:21:13,271 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, 2), 'buttons': (0, 0, 0), 'pos': (502, 295), 'window': None})>
2019-11-23 21:21:13,389 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-6, 3), 'buttons': (0, 0, 0), 'pos': (496, 298), 'window': None})>
2019-11-23 21:21:13,406 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-9, 5), 'buttons': (0, 0, 0), 'pos': (487, 303), 'window': None})>
2019-11-23 21:21:13,423 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, 7), 'buttons': (0, 0, 0), 'pos': (484, 310), 'window': None})>
2019-11-23 21:21:13,441 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-5, 9), 'buttons': (0, 0, 0), 'pos': (479, 319), 'window': None})>
2019-11-23 21:21:13,458 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-25, 14), 'buttons': (0, 0, 0), 'pos': (454, 333), 'window': None})>
2019-11-23 21:21:13,475 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-27, 18), 'buttons': (0, 0, 0), 'pos': (427, 351), 'window': None})>
2019-11-23 21:21:13,492 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-17, 9), 'buttons': (0, 0, 0), 'pos': (410, 360), 'window': None})>
2019-11-23 21:21:13,509 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-2, 1), 'buttons': (0, 0, 0), 'pos': (408, 361), 'window': None})>
2019-11-23 21:21:13,611 - BDM-WAM 1574544069.3801665 - INFO - <Event(5-MouseButtonDown {'button': 1, 'pos': (408, 361), 'window': None})>
2019-11-23 21:21:13,611 - BDM-WAM 1574544069.3801665 - INFO - <Event(8-Pause {'reason': <bound method GameManager.pause of <game.GameManager object at 0x000001C8588E7F98>> })>
2019-11-23 21:21:14,809 - BDM-WAM 1574544069.3801665 - INFO - <Event(7-Rate {'hit_conf': 1 })>
2019-11-23 21:21:14,978 - BDM-WAM 1574544069.3801665 - INFO - <Event(7-Rate {'reward_conf': 1 })>
2019-11-23 21:21:15,152 - BDM-WAM 1574544069.3801665 - INFO - <Event(7-Rate {'player_skill': 1 })>
2019-11-23 21:21:15,152 - BDM-WAM 1574544069.3801665 - INFO - <Event(9.1-True Hit {'pos': (408,361),'distance: 71.30918594402827,'relative_loc: (27, 66),'window': None})>
2019-11-23 21:21:15,295 - BDM-WAM 1574544069.3801665 - INFO - <Event(3-KeyUp {'scancode': 2, 'key': 49, 'window': None, 'mod': 0})>
2019-11-23 21:21:15,452 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (0, 2), 'buttons': (0, 0, 0), 'pos': (409, 363), 'window': None})>
2019-11-23 21:21:15,546 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-5, 13), 'buttons': (0, 0, 0), 'pos': (404, 376), 'window': None})>
2019-11-23 21:21:15,852 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, -48), 'buttons': (0, 0, 0), 'pos': (401, 328), 'window': None})>
2019-11-23 21:21:15,920 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, 3), 'buttons': (0, 0, 0), 'pos': (400, 331), 'window': None})>
2019-11-23 21:21:15,937 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-4, 4), 'buttons': (0, 0, 0), 'pos': (396, 335), 'window': None})>
2019-11-23 21:21:15,955 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-10, 7), 'buttons': (0, 0, 0), 'pos': (386, 342), 'window': None})>
2019-11-23 21:21:15,971 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-11, 6), 'buttons': (0, 0, 0), 'pos': (375, 348), 'window': None})>
2019-11-23 21:21:15,991 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-8, 4), 'buttons': (0, 0, 0), 'pos': (367, 352), 'window': None})>
2019-11-23 21:21:16,006 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-5, 4), 'buttons': (0, 0, 0), 'pos': (362, 356), 'window': None})>
2019-11-23 21:21:16,023 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-7, 4), 'buttons': (0, 0, 0), 'pos': (355, 360), 'window': None})>
2019-11-23 21:21:16,040 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-6, 4), 'buttons': (0, 0, 0), 'pos': (349, 364), 'window': None})>
