2019-11-22 08:43:54,443 - BDM-WAM 1574412234.2645018 - INFO - <Event(17-VideoExpose {})>
2019-11-22 08:43:56,754 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (435, 555), 'window': None, 'rel': (0, 1), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,771 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (434, 557), 'window': None, 'rel': (-1, 2), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,787 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (434, 561), 'window': None, 'rel': (0, 4), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,805 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (435, 564), 'window': None, 'rel': (1, 3), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,822 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (436, 565), 'window': None, 'rel': (1, 1), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,839 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (437, 565), 'window': None, 'rel': (1, 0), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,871 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (438, 564), 'window': None, 'rel': (1, -1), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,887 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (443, 557), 'window': None, 'rel': (5, -7), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,904 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (445, 540), 'window': None, 'rel': (2, -17), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,920 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (443, 517), 'window': None, 'rel': (-2, -23), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,937 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (442, 505), 'window': None, 'rel': (-1, -12), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:56,953 - BDM-WAM 1574412234.2645018 - INFO - <Event(4-MouseMotion {'pos': (442, 502), 'window': None, 'rel': (0, -3), 'buttons': (0, 0, 0)})>
2019-11-22 08:43:57,002 - BDM-WAM 1574412234.2645018 - INFO - <Event(5-MouseButtonDown {'button': 1, 'pos': (442, 502), 'window': None})>
