2019-11-20 21:53:20,007 - BDM-WAM 1574286799.8206518 - INFO - <Event(17-VideoExpose {})>
2019-11-20 21:53:22,363 - BDM-WAM 1574286799.8206518 - INFO - <Event(16-VideoResize {'w': 800, 'h': 700, 'size': (800, 700)})>
2019-11-20 21:53:23,203 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (422, 298), 'rel': (5, -18), 'window': None})>
2019-11-20 21:53:23,219 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (426, 283), 'rel': (4, -15), 'window': None})>
2019-11-20 21:53:23,236 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (431, 261), 'rel': (5, -22), 'window': None})>
2019-11-20 21:53:23,253 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (434, 247), 'rel': (3, -14), 'window': None})>
2019-11-20 21:53:23,271 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (437, 231), 'rel': (3, -16), 'window': None})>
2019-11-20 21:53:23,287 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (438, 220), 'rel': (1, -11), 'window': None})>
2019-11-20 21:53:23,303 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (438, 213), 'rel': (0, -7), 'window': None})>
2019-11-20 21:53:23,319 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (438, 210), 'rel': (0, -3), 'window': None})>
2019-11-20 21:53:23,534 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (434, 178), 'rel': (-4, -32), 'window': None})>
2019-11-20 21:53:23,552 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (424, 129), 'rel': (-10, -49), 'window': None})>
2019-11-20 21:53:23,568 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (418, 95), 'rel': (-6, -34), 'window': None})>
2019-11-20 21:53:23,584 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (413, 73), 'rel': (-5, -22), 'window': None})>
2019-11-20 21:53:23,600 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (411, 59), 'rel': (-2, -14), 'window': None})>
2019-11-20 21:53:23,617 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (409, 48), 'rel': (-2, -11), 'window': None})>
2019-11-20 21:53:23,633 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (408, 43), 'rel': (-1, -5), 'window': None})>
2019-11-20 21:53:23,650 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (407, 39), 'rel': (-1, -4), 'window': None})>
2019-11-20 21:53:23,721 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (405, 31), 'rel': (-2, -8), 'window': None})>
2019-11-20 21:53:23,754 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (404, 30), 'rel': (-1, -1), 'window': None})>
2019-11-20 21:53:23,829 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (401, 15), 'rel': (-3, -15), 'window': None})>
2019-11-20 21:53:23,848 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (401, 9), 'rel': (0, -6), 'window': None})>
2019-11-20 21:53:23,865 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (401, 5), 'rel': (0, -4), 'window': None})>
2019-11-20 21:53:23,941 - BDM-WAM 1574286799.8206518 - INFO - <Event(1-ActiveEvent {'state': 1, 'gain': 0})>
2019-11-20 21:53:25,228 - BDM-WAM 1574286799.8206518 - INFO - <Event(1-ActiveEvent {'state': 1, 'gain': 1})>
2019-11-20 21:53:25,228 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (373, 90), 'rel': (-28, 85), 'window': None})>
2019-11-20 21:53:25,246 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (372, 101), 'rel': (-1, 11), 'window': None})>
2019-11-20 21:53:25,263 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (372, 107), 'rel': (0, 6), 'window': None})>
2019-11-20 21:53:25,322 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (383, 139), 'rel': (11, 32), 'window': None})>
2019-11-20 21:53:25,341 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (390, 148), 'rel': (7, 9), 'window': None})>
2019-11-20 21:53:25,357 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (394, 150), 'rel': (4, 2), 'window': None})>
2019-11-20 21:53:25,373 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (396, 153), 'rel': (2, 3), 'window': None})>
2019-11-20 21:53:25,389 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (399, 153), 'rel': (3, 0), 'window': None})>
2019-11-20 21:53:25,407 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (403, 153), 'rel': (4, 0), 'window': None})>
