2019-07-18 09:05:03,293 - BDM-WAM 1563437102.0305042 - INFO - <Event(17-VideoExpose {})>
2019-07-18 09:05:04,358 - BDM-WAM 1563437102.0305042 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-18 09:05:04,359 - BDM-WAM 1563437102.0305042 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-18 09:05:04,359 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (254, 407), 'rel': (255, 408), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,359 - BDM-WAM 1563437102.0305042 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-18 09:05:04,360 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (354, 350), 'rel': (100, -57), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,496 - BDM-WAM 1563437102.0305042 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-18 09:05:04,701 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (352, 351), 'rel': (-1, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,718 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (346, 349), 'rel': (-6, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,734 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (337, 345), 'rel': (-9, -4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,750 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (329, 341), 'rel': (-8, -4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,767 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (321, 338), 'rel': (-8, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,784 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (311, 335), 'rel': (-10, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,800 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (301, 333), 'rel': (-10, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,817 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (290, 332), 'rel': (-11, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,832 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (274, 334), 'rel': (-16, 2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,850 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (251, 343), 'rel': (-23, 9), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,867 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (209, 362), 'rel': (-42, 19), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,882 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (162, 386), 'rel': (-47, 24), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,899 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (116, 410), 'rel': (-46, 24), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,915 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (79, 431), 'rel': (-37, 21), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,932 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (55, 447), 'rel': (-24, 16), 'buttons': (0, 0, 0), 'window': None})>
2019-07-18 09:05:04,948 - BDM-WAM 1563437102.0305042 - INFO - <Event(4-MouseMotion {'pos': (43, 457), 'rel': (-12, 10), 'buttons': (0, 0, 0), 'window': None})>
