2019-07-17 15:16:30,936 - BDM-WAM 1563372988.493689 - INFO - <Event(17-VideoExpose {})>
2019-07-17 15:16:31,607 - BDM-WAM 1563372988.493689 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 15:16:31,607 - BDM-WAM 1563372988.493689 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 15:16:31,608 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (576, 345), 'rel': (577, 346), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:31,608 - BDM-WAM 1563372988.493689 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 15:16:31,617 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (602, 341), 'rel': (26, -4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:31,727 - BDM-WAM 1563372988.493689 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 15:16:32,291 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (597, 345), 'rel': (-5, 4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,307 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (564, 356), 'rel': (-33, 11), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,323 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (527, 356), 'rel': (-37, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,341 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (471, 356), 'rel': (-56, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,357 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (421, 356), 'rel': (-50, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,376 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (379, 356), 'rel': (-42, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,391 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (336, 356), 'rel': (-43, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,407 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (318, 356), 'rel': (-18, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,423 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (304, 354), 'rel': (-14, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,441 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (297, 351), 'rel': (-7, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,457 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (294, 349), 'rel': (-3, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,474 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (292, 347), 'rel': (-2, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,491 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (288, 341), 'rel': (-4, -6), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,508 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (288, 333), 'rel': (0, -8), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,525 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (291, 327), 'rel': (3, -6), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,543 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (293, 321), 'rel': (2, -6), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,561 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (299, 314), 'rel': (6, -7), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,577 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (304, 311), 'rel': (5, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,593 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (308, 309), 'rel': (4, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,647 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (320, 309), 'rel': (12, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,667 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (322, 311), 'rel': (2, 2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,684 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (324, 316), 'rel': (2, 5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,700 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (325, 321), 'rel': (1, 5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,755 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (320, 342), 'rel': (-5, 21), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,776 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (315, 351), 'rel': (-5, 9), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,791 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (312, 354), 'rel': (-3, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,808 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (310, 357), 'rel': (-2, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,862 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (305, 360), 'rel': (-5, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,918 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (287, 357), 'rel': (-18, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,938 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (278, 357), 'rel': (-9, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,955 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (271, 358), 'rel': (-7, 1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:32,971 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (262, 361), 'rel': (-9, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:33,025 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (216, 389), 'rel': (-46, 28), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:33,044 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (203, 397), 'rel': (-13, 8), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:33,060 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (197, 400), 'rel': (-6, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:33,076 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (195, 401), 'rel': (-2, 1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:33,140 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (191, 404), 'rel': (-4, 3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:33,197 - BDM-WAM 1563372988.493689 - INFO - <Event(5-MouseButtonDown {'pos': (191, 404), 'button': 1, 'window': None})>
2019-07-17 15:16:33,203 - BDM-WAM 1563372988.493689 - INFO - <Event(9.4-True Miss {'pos': (191,404), 'window': None})>
2019-07-17 15:16:33,312 - BDM-WAM 1563372988.493689 - INFO - <Event(6-MouseButtonUp {'pos': (191, 404), 'button': 1, 'window': None})>
2019-07-17 15:16:33,686 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (192, 403), 'rel': (1, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:16:33,789 - BDM-WAM 1563372988.493689 - INFO - <Event(4-MouseMotion {'pos': (194, 402), 'rel': (2, -1), 'buttons': (0, 0, 0), 'window': None})>
