2019-07-17 16:06:53,309 - BDM-WAM 1563376011.0190008 - INFO - <Event(17-VideoExpose {})>
2019-07-17 16:06:53,661 - BDM-WAM 1563376011.0190008 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 16:06:53,662 - BDM-WAM 1563376011.0190008 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 16:06:53,662 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (799, 445), 'rel': (800, 446), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:53,662 - BDM-WAM 1563376011.0190008 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 16:06:53,670 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (690, 372), 'rel': (-109, -73), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:53,835 - BDM-WAM 1563376011.0190008 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 16:06:54,646 - BDM-WAM 1563376011.0190008 - INFO - <Event(2-KeyDown {'unicode': '', 'key': 100, 'mod': 0, 'scancode': 32, 'window': None})>
2019-07-17 16:06:54,926 - BDM-WAM 1563376011.0190008 - INFO - <Event(3-KeyUp {'key': 100, 'mod': 0, 'scancode': 32, 'window': None})>
2019-07-17 16:06:55,375 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (660, 372), 'rel': (-30, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,392 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (617, 363), 'rel': (-43, -9), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,408 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (567, 355), 'rel': (-50, -8), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,426 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (502, 339), 'rel': (-65, -16), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,442 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (476, 328), 'rel': (-26, -11), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,458 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (456, 318), 'rel': (-20, -10), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,476 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (444, 310), 'rel': (-12, -8), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,492 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (437, 303), 'rel': (-7, -7), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,511 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (430, 294), 'rel': (-7, -9), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,526 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (428, 289), 'rel': (-2, -5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,541 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (427, 286), 'rel': (-1, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 16:06:55,558 - BDM-WAM 1563376011.0190008 - INFO - <Event(4-MouseMotion {'pos': (426, 283), 'rel': (-1, -3), 'buttons': (0, 0, 0), 'window': None})>
