2019-07-17 15:30:01,584 - BDM-WAM 1563373799.0798821 - INFO - <Event(17-VideoExpose {})>
2019-07-17 15:30:02,691 - BDM-WAM 1563373799.0798821 - INFO - <Event(16-VideoResize {'size': (800, 600), 'w': 800, 'h': 600})>
2019-07-17 15:30:02,692 - BDM-WAM 1563373799.0798821 - INFO - <Event(1-ActiveEvent {'gain': 0, 'state': 1})>
2019-07-17 15:30:02,692 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (252, 205), 'rel': (253, 206), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:02,693 - BDM-WAM 1563373799.0798821 - INFO - <Event(1-ActiveEvent {'gain': 1, 'state': 1})>
2019-07-17 15:30:02,695 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (425, 423), 'rel': (173, 218), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:02,803 - BDM-WAM 1563373799.0798821 - INFO - <Event(3-KeyUp {'key': 99, 'mod': 0, 'scancode': 46, 'window': None})>
2019-07-17 15:30:03,498 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (391, 425), 'rel': (-50, -54), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,515 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (351, 379), 'rel': (-40, -46), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,532 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (331, 357), 'rel': (-20, -22), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,549 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (315, 342), 'rel': (-16, -15), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,565 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (303, 334), 'rel': (-12, -8), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,581 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (295, 329), 'rel': (-8, -5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,598 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (286, 325), 'rel': (-9, -4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,615 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (283, 323), 'rel': (-3, -2), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,631 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (281, 323), 'rel': (-2, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,649 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (279, 322), 'rel': (-2, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,666 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (278, 321), 'rel': (-1, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,684 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (275, 320), 'rel': (-3, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,700 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (274, 320), 'rel': (-1, 0), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,717 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (271, 319), 'rel': (-3, -1), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,734 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (268, 316), 'rel': (-3, -3), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,752 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (260, 305), 'rel': (-8, -11), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,767 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (254, 294), 'rel': (-6, -11), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,783 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (248, 283), 'rel': (-6, -11), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,799 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (244, 275), 'rel': (-4, -8), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,816 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (240, 271), 'rel': (-4, -4), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,833 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (237, 266), 'rel': (-3, -5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,849 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (234, 261), 'rel': (-3, -5), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,866 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (230, 254), 'rel': (-4, -7), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,884 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (224, 236), 'rel': (-6, -18), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,898 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (223, 222), 'rel': (-1, -14), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,915 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (223, 211), 'rel': (0, -11), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:03,986 - BDM-WAM 1563373799.0798821 - INFO - <Event(4-MouseMotion {'pos': (223, 198), 'rel': (0, -13), 'buttons': (0, 0, 0), 'window': None})>
2019-07-17 15:30:04,004 - BDM-WAM 1563373799.0798821 - INFO - <Event(5-MouseButtonDown {'pos': (223, 198), 'button': 1, 'window': None})>
